"strategy_code","future_id","region","time_period","difference_variable","difference_value","variable","value"
"PFLO:ALL_PLUR",0,"brazil",0,"energy_consumption_inen_total",0,"cb:inen:technical_cost:fuel_switch:all",0
"PFLO:ALL_PLUR",0,"brazil",1,"energy_consumption_inen_total",0,"cb:inen:technical_cost:fuel_switch:all",0
"PFLO:ALL_PLUR",0,"brazil",10,"energy_consumption_inen_total",-0.0783426841744586,"cb:inen:technical_cost:fuel_switch:all",-40020.2184638489
"PFLO:ALL_PLUR",0,"brazil",11,"energy_consumption_inen_total",-250.853829314457,"cb:inen:technical_cost:fuel_switch:all",-113689380.049115
"PFLO:ALL_PLUR",0,"brazil",12,"energy_consumption_inen_total",-499.668404385557,"cb:inen:technical_cost:fuel_switch:all",-200908914.547362
"PFLO:ALL_PLUR",0,"brazil",13,"energy_consumption_inen_total",-739.678620399129,"cb:inen:technical_cost:fuel_switch:all",-263863027.047571
"PFLO:ALL_PLUR",0,"brazil",14,"energy_consumption_inen_total",-973.539429233475,"cb:inen:technical_cost:fuel_switch:all",-308110979.999764
"PFLO:ALL_PLUR",0,"brazil",15,"energy_consumption_inen_total",-1194.29414649454,"cb:inen:technical_cost:fuel_switch:all",-335338246.478657
"PFLO:ALL_PLUR",0,"brazil",16,"energy_consumption_inen_total",-1406.88670424366,"cb:inen:technical_cost:fuel_switch:all",-350468561.619456
"PFLO:ALL_PLUR",0,"brazil",17,"energy_consumption_inen_total",-1613.65208709574,"cb:inen:technical_cost:fuel_switch:all",-356630104.083566
"PFLO:ALL_PLUR",0,"brazil",18,"energy_consumption_inen_total",-1815.27785476519,"cb:inen:technical_cost:fuel_switch:all",-355933906.671408
"PFLO:ALL_PLUR",0,"brazil",19,"energy_consumption_inen_total",-2011.56966666858,"cb:inen:technical_cost:fuel_switch:all",-349928637.177672
"PFLO:ALL_PLUR",0,"brazil",2,"energy_consumption_inen_total",0,"cb:inen:technical_cost:fuel_switch:all",0
"PFLO:ALL_PLUR",0,"brazil",20,"energy_consumption_inen_total",-2201.50902426096,"cb:inen:technical_cost:fuel_switch:all",-339768437.368134
"PFLO:ALL_PLUR",0,"brazil",21,"energy_consumption_inen_total",-2380.91059785087,"cb:inen:technical_cost:fuel_switch:all",-326004658.800136
"PFLO:ALL_PLUR",0,"brazil",22,"energy_consumption_inen_total",-2545.30747485642,"cb:inen:technical_cost:fuel_switch:all",-309199744.731015
"PFLO:ALL_PLUR",0,"brazil",23,"energy_consumption_inen_total",-2706.28304755513,"cb:inen:technical_cost:fuel_switch:all",-291668982.357721
"PFLO:ALL_PLUR",0,"brazil",24,"energy_consumption_inen_total",-2863.80819576439,"cb:inen:technical_cost:fuel_switch:all",-273828793.200393
"PFLO:ALL_PLUR",0,"brazil",25,"energy_consumption_inen_total",-3017.87828314138,"cb:inen:technical_cost:fuel_switch:all",-256008897.985209
"PFLO:ALL_PLUR",0,"brazil",26,"energy_consumption_inen_total",-3168.62721113237,"cb:inen:technical_cost:fuel_switch:all",-238474882.380819
"PFLO:ALL_PLUR",0,"brazil",27,"energy_consumption_inen_total",-3315.96259261975,"cb:inen:technical_cost:fuel_switch:all",-221411041.040846
"PFLO:ALL_PLUR",0,"brazil",28,"energy_consumption_inen_total",-3459.95664738285,"cb:inen:technical_cost:fuel_switch:all",-204964413.415879
"PFLO:ALL_PLUR",0,"brazil",29,"energy_consumption_inen_total",-3600.70213973138,"cb:inen:technical_cost:fuel_switch:all",-189240095.733863
"PFLO:ALL_PLUR",0,"brazil",3,"energy_consumption_inen_total",0,"cb:inen:technical_cost:fuel_switch:all",0
"PFLO:ALL_PLUR",0,"brazil",30,"energy_consumption_inen_total",-3738.30797431277,"cb:inen:technical_cost:fuel_switch:all",-174308752.586596
"PFLO:ALL_PLUR",0,"brazil",31,"energy_consumption_inen_total",-3874.032148252,"cb:inen:technical_cost:fuel_switch:all",-160260131.084568
"PFLO:ALL_PLUR",0,"brazil",32,"energy_consumption_inen_total",-4007.40262094192,"cb:inen:technical_cost:fuel_switch:all",-147076540.748595
