strategy_code,future_id,region,time_period,difference_variable,difference_value,variable,value
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,7,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,8,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,9,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,10,pop_lvst_buffalo,973.0,cb:lvst:lvst_value:livestock_produced:buffalo,252980.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,11,pop_lvst_buffalo,1380.0,cb:lvst:lvst_value:livestock_produced:buffalo,358800.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,12,pop_lvst_buffalo,1234.0,cb:lvst:lvst_value:livestock_produced:buffalo,320840.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,13,pop_lvst_buffalo,912.0,cb:lvst:lvst_value:livestock_produced:buffalo,237120.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,14,pop_lvst_buffalo,428.0,cb:lvst:lvst_value:livestock_produced:buffalo,111280.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,15,pop_lvst_buffalo,-205.0,cb:lvst:lvst_value:livestock_produced:buffalo,-53300.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,16,pop_lvst_buffalo,-975.0,cb:lvst:lvst_value:livestock_produced:buffalo,-253500.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,17,pop_lvst_buffalo,-1866.0,cb:lvst:lvst_value:livestock_produced:buffalo,-485160.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,18,pop_lvst_buffalo,-2869.0,cb:lvst:lvst_value:livestock_produced:buffalo,-745940.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,19,pop_lvst_buffalo,-3974.0,cb:lvst:lvst_value:livestock_produced:buffalo,-1033240.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,20,pop_lvst_buffalo,-5169.0,cb:lvst:lvst_value:livestock_produced:buffalo,-1343940.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,21,pop_lvst_buffalo,-6444.0,cb:lvst:lvst_value:livestock_produced:buffalo,-1675440.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,22,pop_lvst_buffalo,-7790.0,cb:lvst:lvst_value:livestock_produced:buffalo,-2025400.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,23,pop_lvst_buffalo,-9198.0,cb:lvst:lvst_value:livestock_produced:buffalo,-2391480.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,24,pop_lvst_buffalo,-10660.0,cb:lvst:lvst_value:livestock_produced:buffalo,-2771600.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,25,pop_lvst_buffalo,-12167.0,cb:lvst:lvst_value:livestock_produced:buffalo,-3163420.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,26,pop_lvst_buffalo,-13712.0,cb:lvst:lvst_value:livestock_produced:buffalo,-3565120.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,27,pop_lvst_buffalo,-15287.0,cb:lvst:lvst_value:livestock_produced:buffalo,-3974620.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,28,pop_lvst_buffalo,-16885.0,cb:lvst:lvst_value:livestock_produced:buffalo,-4390100.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,29,pop_lvst_buffalo,-18501.0,cb:lvst:lvst_value:livestock_produced:buffalo,-4810260.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,30,pop_lvst_buffalo,-20125.0,cb:lvst:lvst_value:livestock_produced:buffalo,-5232500.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,31,pop_lvst_buffalo,-21710.0,cb:lvst:lvst_value:livestock_produced:buffalo,-5644600.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,32,pop_lvst_buffalo,-23298.0,cb:lvst:lvst_value:livestock_produced:buffalo,-6057480.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,33,pop_lvst_buffalo,-24894.0,cb:lvst:lvst_value:livestock_produced:buffalo,-6472440.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,34,pop_lvst_buffalo,-26501.0,cb:lvst:lvst_value:livestock_produced:buffalo,-6890260.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,35,pop_lvst_buffalo,-28124.0,cb:lvst:lvst_value:livestock_produced:buffalo,-7312240.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,7,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,8,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,9,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,10,pop_lvst_cattle_dairy,44152.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,11479520.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,11,pop_lvst_cattle_dairy,62599.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,16275740.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,12,pop_lvst_cattle_dairy,55644.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,14467440.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,13,pop_lvst_cattle_dairy,40784.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,10603840.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,14,pop_lvst_cattle_dairy,18593.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,4834180.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,15,pop_lvst_cattle_dairy,-10350.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-2691000.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,16,pop_lvst_cattle_dairy,-45459.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-11819340.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,17,pop_lvst_cattle_dairy,-86113.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-22389380.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,18,pop_lvst_cattle_dairy,-131826.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-34274760.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,19,pop_lvst_cattle_dairy,-182111.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-47348860.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,20,pop_lvst_cattle_dairy,-236464.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-61480640.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,21,pop_lvst_cattle_dairy,-294452.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-76557520.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,22,pop_lvst_cattle_dairy,-355639.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-92466140.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,23,pop_lvst_cattle_dairy,-419632.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-109104320.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,24,pop_lvst_cattle_dairy,-486047.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-126372220.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,25,pop_lvst_cattle_dairy,-554525.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-144176500.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,26,pop_lvst_cattle_dairy,-624686.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-162418360.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,27,pop_lvst_cattle_dairy,-696209.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-181014340.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,28,pop_lvst_cattle_dairy,-768782.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-199883320.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,29,pop_lvst_cattle_dairy,-842103.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-218946780.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,30,pop_lvst_cattle_dairy,-915880.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-238128800.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,31,pop_lvst_cattle_dairy,-987807.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-256829820.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,32,pop_lvst_cattle_dairy,-1059874.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-275567240.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,33,pop_lvst_cattle_dairy,-1132292.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-294395920.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,34,pop_lvst_cattle_dairy,-1205240.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-313362400.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,35,pop_lvst_cattle_dairy,-1278903.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,-332514780.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,7,pop_lvst_cattle_nondairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,8,pop_lvst_cattle_nondairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,9,pop_lvst_cattle_nondairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,10,pop_lvst_cattle_nondairy,44436.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,11553360.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,11,pop_lvst_cattle_nondairy,65787.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,17104620.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,12,pop_lvst_cattle_nondairy,61706.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,16043560.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,13,pop_lvst_cattle_nondairy,49637.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,12905620.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,14,pop_lvst_cattle_nondairy,30124.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,7832240.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,15,pop_lvst_cattle_nondairy,3719.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,966940.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,16,pop_lvst_cattle_nondairy,-29014.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-7543640.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,17,pop_lvst_cattle_nondairy,-67477.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-17544020.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,18,pop_lvst_cattle_nondairy,-111180.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-28906800.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,19,pop_lvst_cattle_nondairy,-159636.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-41505360.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,20,pop_lvst_cattle_nondairy,-212342.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-55208920.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,21,pop_lvst_cattle_nondairy,-268857.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-69902820.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,22,pop_lvst_cattle_nondairy,-328741.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-85472660.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,23,pop_lvst_cattle_nondairy,-391594.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-101814440.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,24,pop_lvst_cattle_nondairy,-457024.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-118826240.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,25,pop_lvst_cattle_nondairy,-524665.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-136412900.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,26,pop_lvst_cattle_nondairy,-594131.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-154474060.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,27,pop_lvst_cattle_nondairy,-665090.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-172923400.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,28,pop_lvst_cattle_nondairy,-737225.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-191678500.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,29,pop_lvst_cattle_nondairy,-810223.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-210657980.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,30,pop_lvst_cattle_nondairy,-883782.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-229783320.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,31,pop_lvst_cattle_nondairy,-955443.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-248415180.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,32,pop_lvst_cattle_nondairy,-1027395.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-267122700.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,33,pop_lvst_cattle_nondairy,-1099848.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-285960480.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,34,pop_lvst_cattle_nondairy,-1172980.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-304974800.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,35,pop_lvst_cattle_nondairy,-1246981.0,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,-324215060.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,7,pop_lvst_chickens,0.0,cb:lvst:lvst_value:livestock_produced:chickens,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,8,pop_lvst_chickens,0.0,cb:lvst:lvst_value:livestock_produced:chickens,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,9,pop_lvst_chickens,0.0,cb:lvst:lvst_value:livestock_produced:chickens,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,10,pop_lvst_chickens,0.0,cb:lvst:lvst_value:livestock_produced:chickens,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,11,pop_lvst_chickens,0.0,cb:lvst:lvst_value:livestock_produced:chickens,0.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,12,pop_lvst_chickens,-23828.0,cb:lvst:lvst_value:livestock_produced:chickens,-61952.8
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,13,pop_lvst_chickens,-47778.0,cb:lvst:lvst_value:livestock_produced:chickens,-124222.8
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,14,pop_lvst_chickens,-71802.0,cb:lvst:lvst_value:livestock_produced:chickens,-186685.2
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,15,pop_lvst_chickens,-95847.0,cb:lvst:lvst_value:livestock_produced:chickens,-249202.2
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,16,pop_lvst_chickens,-119872.0,cb:lvst:lvst_value:livestock_produced:chickens,-311667.2
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,17,pop_lvst_chickens,-143838.0,cb:lvst:lvst_value:livestock_produced:chickens,-373978.8
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,18,pop_lvst_chickens,-167697.0,cb:lvst:lvst_value:livestock_produced:chickens,-436012.2
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,19,pop_lvst_chickens,-191403.0,cb:lvst:lvst_value:livestock_produced:chickens,-497647.8
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,20,pop_lvst_chickens,-214919.0,cb:lvst:lvst_value:livestock_produced:chickens,-558789.4
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,21,pop_lvst_chickens,-238195.0,cb:lvst:lvst_value:livestock_produced:chickens,-619307.0
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,22,pop_lvst_chickens,-261186.0,cb:lvst:lvst_value:livestock_produced:chickens,-679083.6
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,23,pop_lvst_chickens,-283844.0,cb:lvst:lvst_value:livestock_produced:chickens,-737994.4
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,24,pop_lvst_chickens,-306116.0,cb:lvst:lvst_value:livestock_produced:chickens,-795901.6
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,25,pop_lvst_chickens,-327949.0,cb:lvst:lvst_value:livestock_produced:chickens,-852667.4
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,26,pop_lvst_chickens,-349301.0,cb:lvst:lvst_value:livestock_produced:chickens,-908182.6
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,27,pop_lvst_chickens,-370112.0,cb:lvst:lvst_value:livestock_produced:chickens,-962291.2
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,28,pop_lvst_chickens,-390323.0,cb:lvst:lvst_value:livestock_produced:chickens,-1014839.8
TORNADO:PFLO:INC_HEALTHIER_DIETS,0,iran,29,pop_lvst_chickens,-409874.0,cb:lvst:lvst_value:livestock_produced:chickens,-1065672.4
