primary_id,design_id,strategy_id,future_id
0,0,0,0
138138,0,7101,0
139139,0,7102,0
140140,0,7103,0
141141,0,7104,0
142142,0,7105,0
143143,0,7106,0
144144,0,7107,0
145145,0,7108,0
146146,0,7109,0
147147,0,7110,0
148148,0,7111,0
149149,0,7112,0
150150,0,7113,0
151151,0,7114,0
152152,0,7115,0
153153,0,7116,0
154154,0,7117,0
155155,0,7118,0
156156,0,7119,0
157157,0,7120,0
158158,0,7121,0
159159,0,7122,0
160160,0,7123,0
161161,0,7124,0
162162,0,7125,0
163163,0,7126,0
164164,0,7127,0
165165,0,7128,0
166166,0,7129,0
167167,0,7130,0
168168,0,7131,0
169169,0,7132,0
170170,0,7133,0
171171,0,7134,0
172172,0,7135,0
173173,0,7136,0
174174,0,7137,0
175175,0,7138,0
176176,0,7139,0
177177,0,7140,0
178178,0,7141,0
179179,0,7142,0
180180,0,7143,0
181181,0,7144,0
182182,0,7145,0
183183,0,7146,0
184184,0,7147,0
185185,0,7148,0
186186,0,7149,0
187187,0,7150,0
188188,0,7151,0
189189,0,7152,0
190190,0,7153,0
191191,0,7154,0
192192,0,7155,0
193193,0,7156,0
194194,0,7157,0
195195,0,7158,0
196196,0,7159,0
