output_variable_name,difference_variable,multiplier,multiplier_unit,annual_change,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes,cb_function
cb:waso:technical_cost:waste_to_energy:incineration,qty_waso_*_recovered_for_energy_incineration_tonne,-170.0,$/ton MSW,1,Cost of Energy Recovery (incineration),1,$170/ton MSW,Cost for energy recovery is based on IEA estimates (2020f).,0.25 toe/ton feedstock x 42 Mbtu/1toe x $17/Mbtu=170,cb_apply_cost_factors
cb:waso:technical_cost:waste_to_energy:anaerobic,gasrecovered_waso_biogas_anaerobic_tonne,-500.0,$/ton gas,1,Cost of Energy Recovery (anaerobic),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,,cb_apply_cost_factors
cb:waso:technical_cost:waste_to_energy:landfill,gasrecovered_waso_biogas_landfills_tonne,-500.0,$/ton gas,1,Cost of Energy Recovery (landfill),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,"https://waste-management-world.com/resource-use/how-much-methane-is-generated-by-the-global-landfilling-of-urban-wastes/#:~:text=Using%20the%20World%20Bank%20numbers,case%20of%20U.S.%20LMOP%20landfills.",cb_apply_cost_factors
cb:waso:fuel_cost:waste_to_energy_value:anaerobic,gasrecovered_waso_biogas_anaerobic_tonne,323.5294118,$/ton gas,1,Cost of Energy Recovery (anaerobic),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,,cb_apply_cost_factors
cb:waso:fuel_cost:waste_to_energy_value:landfill,gasrecovered_waso_biogas_landfills_tonne,323.5294118,$/ton gas,1,Cost of Energy Recovery (landfill),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,,cb_apply_cost_factors
