output_variable_name,difference_variable,multiplier,multiplier_unit,annual_change,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes,cb_function
cb:trww:technical_cost:waste_to_energy:X,gasrecovered_trww_biogas_tonne,-500.0,$/ton biogas,1,Cost of Energy Recovery (incineration),1,$17/mbtu biogas,,$17/Mbtu * 1Mbtu/1.05GJ * 30.58GJ/tonne biogs = 500,cb_apply_cost_factors
cb:trww:fuel_cost:waste_to_energy_value:X,gasrecovered_trww_biogas_tonne,323.5294118,$/ton biogas,1,Cost of Energy Recovery (incineration),1,22/mbtu biogas,,Above * 22/17,cb_apply_cost_factors
