output_variable_name,difference_variable,multiplier,multiplier_unit,annual_change,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes,cb_function
cb:ccsq:sector_specific:fuel_cost:X,totalvalue_enfu_fuel_consumed_ccsq_*,-500000,,1,Fuel Cost (CCS),1,Bias corrected to be half of what they currently show,Costs of electricity and fuels are exogenously determined,none,cb_apply_cost_factors
cb:inen:sector_specific:fuel_cost:X,totalvalue_enfu_fuel_consumed_inen_*,-500000,,1,Fuel Cost (Industrial Energy),1,Bias corrected to be half of what they currently show,Costs of electricity and fuels are exogenously determined,none,cb_apply_cost_factors
cb:scoe:sector_specific:fuel_cost:X,totalvalue_enfu_fuel_consumed_scoe_*,-500000,,1,Fuel Cost (Buildings),1,Bias corrected to be half of what they currently show,Costs of electricity and fuels are exogenously determined,none,cb_apply_cost_factors
cb:entc:sector_specific:fuel_cost:X,totalvalue_enfu_fuel_consumed_entc_*,-500000,,1,Fuel Cost (Energy Production),1,Bias corrected to be half of what they currently show,Costs of electricity and fuels are exogenously determined,none,cb_apply_cost_factors
cb:trns:sector_specific:fuel_cost:X,totalvalue_enfu_fuel_consumed_trns_*,-500000,,1,Fuel Cost (Transport),1,Bias corrected to be half of what they currently show,Costs of electricity and fuels are exogenously determined,none,cb_apply_cost_factors
