output_variable_name,transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,difference_variable,multiplier,multiplier_unit,annual_change,arg1,arg2,sum,natural_multiplier_units
cb:waso:technical_cost:consumer_food_waste:X,TX:WASO:DEC_CONSUMER_FOOD_WASTE,1,,,,cb_waso_reduce_consumer_facing_food_waste,qty_waso_total_food_produced_tonne,100.0,$/ton waste avoided,,,,0,"Costs are based on the average per-ton costs of consumer-facing actions to reduce food waste in the United States found in the appendix of ReFED (2016), adjusted to LAC."
cb:waso:consumer_savings:consumer_food_waste:X,TX:WASO:DEC_CONSUMER_FOOD_WASTE,1,,,,cb_waso_reduce_consumer_facing_food_waste,qty_waso_total_food_produced_tonne,-700.0,$/ton waste avoided,,,,0,$700/ton food waste avoided
cb:ccsq:technical_cost:direct_air_capture:X,TX:CCSQ:INC_CAPTURE,1,,,,cb_difference_between_two_strategies,emission_co2e_subsector_total_ccsq,500.0,$/ton CO2e,0.96,,,0,$500/ton captured
cb:lvst:technical_cost:ent_ferm_mgmt:X,TX:LVST:DEC_ENTERIC_FERMENTATION,1,,,,cb_lvst_enteric,pop_lvst_buffalo,-40.0,$/head,1.0,,,0,$40/head
cb:agrc:technical_cost:rice_mgmt:X,TX:AGRC:DEC_CH4_RICE,1,,,,cb_agrc_rice_mgmt,area_agrc_crops_rice,-31.0,$/acre,1.0,,,0,-$31/ha rice managed
cb:agrc:technical_cost:producer_food_waste:X,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,qty_agrc_total_food_produced_lost_tonne,400.0,$/ton,1.0,,,0,$680/ton
cb:agrc:technical_savings:producer_food_waste:X,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,qty_agrc_total_food_produced_lost_tonne,-500.0,$/ton,1.0,,,0,$1700 saved/ton
cb:agrc:technical_cost:increase_productivity:X,TX:AGRC:INC_PRODUCTIVITY,1,,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,gdp_mmm_usd,-1.0,$,1.0,,,0,Varies by country
cb:lvst:technical_cost:increase_productivity:X,TX:LVST:INC_PRODUCTIVITY,1,,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,gdp_mmm_usd,-1.0,$,1.0,,,0,Varies by country
cb:pflo:human_health:better_diets:X,TX:PFLO:INC_HEALTHIER_DIETS,1,,PLUR,BASE:PLUR,cb_pflo_healthier_diets,population_gnrl_urban,350.0,$/person with better diet,1.0,,,0,$3500/person
cb:pflo:consumer_savings:better_diets:X,TX:PFLO:INC_HEALTHIER_DIETS,1,,PLUR,BASE:PLUR,cb_pflo_healthier_diets,population_gnrl_urban,385.0,$/person with better diet,1.0,,,0,$385/person
cb:lndu:technical_cost:rehabilitate_forests:X,TX:LNDU:INC_LAND_REHABILITIATION,0,,,,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45.0,$/ha,1.0,,,0,$650/hectare over 15 years
cb:lndu:technical_cost:silvopasture:X,TX:LNDU:INC_SILVOPASTURE,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45.0,$/ha,1.0,,,0,$650/hectare over 15 years
cb:lndu:technical_cost:all_secondary_forests:X,TX:LNDU:DEC_DEFORESTATION_AND_INC_SILVOPASTURE,1,,PLUR,BASE:PLUR,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45.0,$/ha,1.0,,,0,$650/hectare over 15 years
cb:ippu:technical_cost:industrial_ccs:X,TX:PFLO:INC_IND_CCS,1,,,,cb_ippu_inen_ccs,prod_ippu_cement_tonne,0.0,$/tonne,0.0,,,0,Varies by industry
cb:agrc:consumer_savings:cons_ag_land_value:X,TX:AGRC:INC_CONSERVATION_AGRICULTURE,1,,,,cb_difference_between_two_strategies,area_lndu_improved_croplands,350.0,$/ha,1.0,,,0,$350/hectare
cb:agrc:technical_savings:cons_ag:X,TX:AGRC:INC_CONSERVATION_AGRICULTURE,1,,,,cb_difference_between_two_strategies,area_lndu_improved_croplands,41.0,$/ha,1.0,,,0,$41/hectare
cb:lsmm:technical_cost:manure_management,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,1,,,,cb_manure_management_cost,lvst_total_tlu,10.0,$/TLU,1.0,,,0,$10/TLU
