output_variable_name,difference_variable,multiplier,multiplier_unit,annual_change,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes,cb_function
cb:soil:technical_cost:agriculture_inputs:fertilizer,demand_soil_fertilizer_n_kt,-200000,$/kt,1,Cost savings (avoided fertilizer),0,$200/ton,"We use the average costs per ton of urea over the past five years as a cost of fertilier. This cost is available for download at https://www.indexmundi.com/commodities/?commodity=urea&months=60, accessed June 17, 2023.",none,cb_apply_cost_factors
cb:soil:land_pollution:N_leaching:fertilizer,demand_soil_fertilizer_n_kt,-60000,$/kt,1,Cost savings (avoided fertilizer),0,$60/ton,"Good and Beatty (2011, Box 2 and Tbale 4) estimate the total environmental cost of nitrate leaching and runoff to be 44% of the total cost of excess fertilizer applied, of which 70% of is attributed to nitrate leaching and runoff. The value of avoided nitrate leaching and runoff is estimated at 30% of the per-ton cost of fertilizer in the prior table.",,cb_apply_cost_factors
