"","region","time_period","strategy_code","future_id","value","difference_value","difference_variable","variable"
"1","brazil",0,"PFLO:ALL_PLUR",0,0,1224.70473581335,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"2","brazil",1,"PFLO:ALL_PLUR",0,0,-178.284898170659,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"3","brazil",2,"PFLO:ALL_PLUR",0,0,0,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"4","brazil",3,"PFLO:ALL_PLUR",0,0,0,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"5","brazil",4,"PFLO:ALL_PLUR",0,0,0,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"6","brazil",5,"PFLO:ALL_PLUR",0,0,-530.162358353527,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"7","brazil",6,"PFLO:ALL_PLUR",0,0,1.82126314030029e-10,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"8","brazil",7,"PFLO:ALL_PLUR",0,0,-1.10098596906028e-10,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"9","brazil",8,"PFLO:ALL_PLUR",0,0,-5.71986902286881e-13,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"10","brazil",9,"PFLO:ALL_PLUR",0,0,-4.33431068813661e-13,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"11","brazil",10,"PFLO:ALL_PLUR",0,5115347581.46497,-5115.34758146497,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"12","brazil",11,"PFLO:ALL_PLUR",0,-4531515611.5061,4531.5156115061,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"13","brazil",12,"PFLO:ALL_PLUR",0,-6002576834.84426,6002.57683484426,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"14","brazil",13,"PFLO:ALL_PLUR",0,-7151176788.80993,7151.17678880993,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"15","brazil",14,"PFLO:ALL_PLUR",0,-8929312966.73539,8929.31296673539,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"16","brazil",15,"PFLO:ALL_PLUR",0,-29517807263.4992,29517.8072634992,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"17","brazil",16,"PFLO:ALL_PLUR",0,-14826403485.7316,14826.4034857316,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"18","brazil",17,"PFLO:ALL_PLUR",0,124143064.212218,-124.143064212217,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"19","brazil",18,"PFLO:ALL_PLUR",0,-5513667767.78751,5513.66776778751,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"20","brazil",19,"PFLO:ALL_PLUR",0,-10577635403.3595,10577.6354033595,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"21","brazil",20,"PFLO:ALL_PLUR",0,-10344376413.9376,10344.3764139376,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"22","brazil",21,"PFLO:ALL_PLUR",0,-10078285235.902,10078.285235902,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"23","brazil",22,"PFLO:ALL_PLUR",0,-10013734921.8033,10013.7349218033,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"24","brazil",23,"PFLO:ALL_PLUR",0,-8037425857.41992,8037.42585741991,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
"25","brazil",24,"PFLO:ALL_PLUR",0,-3956022009.87552,3956.02200987552,"nemomod_entc_discounted_capital*","cb:entc:technical_cost:electricity:capex"
