strategy_code,future_id,region,time_period,difference_variable,difference_value,variable,value
PFLO:ALL_PLUR,0,brazil,0,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,1,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,2,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,3,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,4,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,5,energy_consumption_inen_total,9.094947017729282e-13,cb:inen:technical_cost:fuel_switch:all,5.902620614506304e-07
PFLO:ALL_PLUR,0,brazil,6,energy_consumption_inen_total,9.094947017729282e-13,cb:inen:technical_cost:fuel_switch:all,5.902620614506304e-07
PFLO:ALL_PLUR,0,brazil,7,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,8,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,9,energy_consumption_inen_total,0.0,cb:inen:technical_cost:fuel_switch:all,0.0
PFLO:ALL_PLUR,0,brazil,10,energy_consumption_inen_total,-0.07834268417445855,cb:inen:technical_cost:fuel_switch:all,-40020.21846384894
PFLO:ALL_PLUR,0,brazil,11,energy_consumption_inen_total,-250.85382931445656,cb:inen:technical_cost:fuel_switch:all,-113689380.04911478
PFLO:ALL_PLUR,0,brazil,12,energy_consumption_inen_total,-499.66840438555664,cb:inen:technical_cost:fuel_switch:all,-200908914.54736185
PFLO:ALL_PLUR,0,brazil,13,energy_consumption_inen_total,-739.6786203991287,cb:inen:technical_cost:fuel_switch:all,-263863027.0475712
PFLO:ALL_PLUR,0,brazil,14,energy_consumption_inen_total,-973.5394292334754,cb:inen:technical_cost:fuel_switch:all,-308110979.9997637
PFLO:ALL_PLUR,0,brazil,15,energy_consumption_inen_total,-1194.294146494538,cb:inen:technical_cost:fuel_switch:all,-335338246.4786572
PFLO:ALL_PLUR,0,brazil,16,energy_consumption_inen_total,-1406.8867042436596,cb:inen:technical_cost:fuel_switch:all,-350468561.6194555
PFLO:ALL_PLUR,0,brazil,17,energy_consumption_inen_total,-1613.6520870957406,cb:inen:technical_cost:fuel_switch:all,-356630104.08356565
PFLO:ALL_PLUR,0,brazil,18,energy_consumption_inen_total,-1815.2778547651906,cb:inen:technical_cost:fuel_switch:all,-355933906.67140806
PFLO:ALL_PLUR,0,brazil,19,energy_consumption_inen_total,-2011.5696666685776,cb:inen:technical_cost:fuel_switch:all,-349928637.17767197
PFLO:ALL_PLUR,0,brazil,20,energy_consumption_inen_total,-2201.5090242609604,cb:inen:technical_cost:fuel_switch:all,-339768437.36813354
PFLO:ALL_PLUR,0,brazil,21,energy_consumption_inen_total,-2380.91059785087,cb:inen:technical_cost:fuel_switch:all,-326004658.8001359
PFLO:ALL_PLUR,0,brazil,22,energy_consumption_inen_total,-2545.3074748564177,cb:inen:technical_cost:fuel_switch:all,-309199744.7310151
PFLO:ALL_PLUR,0,brazil,23,energy_consumption_inen_total,-2706.283047555128,cb:inen:technical_cost:fuel_switch:all,-291668982.35772085
PFLO:ALL_PLUR,0,brazil,24,energy_consumption_inen_total,-2863.808195764392,cb:inen:technical_cost:fuel_switch:all,-273828793.20039254
PFLO:ALL_PLUR,0,brazil,25,energy_consumption_inen_total,-3017.8782831413832,cb:inen:technical_cost:fuel_switch:all,-256008897.9852086
PFLO:ALL_PLUR,0,brazil,26,energy_consumption_inen_total,-3168.627211132372,cb:inen:technical_cost:fuel_switch:all,-238474882.38081867
PFLO:ALL_PLUR,0,brazil,27,energy_consumption_inen_total,-3315.962592619751,cb:inen:technical_cost:fuel_switch:all,-221411041.04084605
PFLO:ALL_PLUR,0,brazil,28,energy_consumption_inen_total,-3459.9566473828527,cb:inen:technical_cost:fuel_switch:all,-204964413.41587934
